cab_type,distance,fare
UberGo,1.242742384,102.82
UberAuto,2.485484769,51.2
Premier,2.485484769,154.75
UberGo,2.485484769,134.8
Moto,2.485484769,34.76
UberAuto,1.864113577,37.68
Premier,1.864113577,134.64
UberGo,1.864113577,118.44
Moto,1.864113577,28.51
UberAuto,3.16899308,55.26
Premier,3.16899308,161.29
UberGo,3.16899308,140.48
Moto,3.16899308,36.63
Premier,6.213711922,277.46
UberGo,6.213711922,233.92
Moto,6.213711922,73.19
UberAuto,2.920444604,61.11
Premier,2.920444604,186.42
UberGo,2.920444604,161.43
Moto,2.920444604,39.34
UberAuto,1.491290861,26.19
Premier,1.491290861,141.08
UberGo,1.491290861,125.48
Moto,1.491290861,23.2
UberAuto,1.988387815,41.29
UberGo,1.988387815,148.67
Moto,1.988387815,30.18
UberAuto,2.982581723,50.98
Premier,2.982581723,185.63
UberGo,2.982581723,161.92
Moto,2.982581723,34.66
UberAuto,2.174799173,45.79
Premier,2.174799173,162.41
UberGo,2.174799173,142.61
Moto,2.174799173,35.84
UberAuto,1.056331027,19.66
Premier,1.056331027,118.16
UberGo,1.056331027,105.61
Moto,1.056331027,20.19
UberAuto,2.982581723,50.98
Premier,2.982581723,168.58
UberGo,2.982581723,146.08
Moto,2.982581723,34.66
UberAuto,4.536009703,99.19
Premier,4.536009703,223.76
UberGo,4.536009703,189.28
Moto,4.536009703,56.93
UberAuto,0.80778255,26.42
Premier,0.80778255,118.2
UberGo,0.80778255,105.27
Moto,0.80778255,23.31
UberAuto,1.304879504,24.39
Premier,1.304879504,117.66
UberGo,1.304879504,106.56
Moto,1.304879504,22.36
UberAuto,3.106855961,73.96
Premier,3.106855961,184.31
UberGo,3.106855961,155.88
UberAuto,2.858307484,67.2
Premier,2.858307484,176.4
UberGo,2.858307484,150.93
UberAuto,1.801976457,32.5
Premier,1.801976457,125.23
UberGo,1.801976457,109.6
UberAuto,4.163186988,94.91
Premier,4.163186988,211.91
UberGo,4.163186988,175.9
UberAuto,3.914638511,109.1
Premier,3.914638511,233.75
UberGo,3.914638511,194.16
UberAuto,4.03891275,109.1
Premier,4.03891275,233.75
UberGo,4.03891275,194.16
UberAuto,1.553427981,20.11
Premier,1.553427981,107.74
UberGo,1.553427981,96.04
Moto,1.553427981,20.39
UberAuto,1.491290861,29.12
Premier,1.491290861,121.98
UberGo,1.491290861,108.2
Moto,1.491290861,24.54
UberAuto,2.299073411,46.69
Premier,2.299073411,147.72
UberGo,2.299073411,128.86
Moto,2.299073411,32.68
UberAuto,1.864113577,43.31
Premier,1.864113577,142.52
UberGo,1.864113577,124.5
Moto,1.864113577,31.11
UberAuto,1.864113577,44.22
Premier,1.864113577,143.55
